Plot BID,PWS TYPE,SEASON,FIELD,SET,ABSR,ABSC,Entry#,COMMENT,IsDeactivated,DeactivationReason,FieldDataSource,PlotNumber,CUSR,DISTANCE,HDIR,HDT,HID,HSIDE,HWT_lbs,Latitude,Longitude,MST,TWT
P00000000879556049943254,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,6,1,,F,,SCAN MASTER,,KSTRA9,21.41,U,7/17/2020 1:28:56 PM,US-BR-CO-R2-G-1798,2,3.538,42.145996,-102.927863,10.730,55.237
P00000000879556049943255,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,7,2,,F,,SCAN MASTER,,KSTRA9,20.96,U,7/17/2020 2:25:04 PM,US-BR-CO-R2-G-1798,1,4.652,42.145988,-102.927917,8.710,55.781
P00000000879556049943256,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,11,3,,F,,SCAN MASTER,,KSTRA9,23.72,D,7/17/2020 3:07:31 PM,US-BR-CO-R2-G-1798,2,4.916,42.145713,-102.927757,9.850,58.189
P00000000879556049943257,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,6,4,,F,,SCAN MASTER,,KSTRA9,20.86,U,7/17/2020 1:29:50 PM,US-BR-CO-R2-G-1798,2,3.605,42.145909,-102.927794,11.500,54.693
P00000000879556049943258,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,14,5,,F,,SCAN MASTER,,KSTRA9,17.97,D,7/17/2020 2:30:06 PM,US-BR-CO-R2-G-1798,1,5.324,42.145840,-102.927912,8.820,57.179
P00000000879556049943259,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,15,6,,F,,SCAN MASTER,,KSTRA9,21.70,D,7/17/2020 1:43:25 PM,US-BR-CO-R2-G-1798,2,5.302,42.145872,-102.927998,10.180,57.024
P00000000879556049943260,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,16,7,,F,,SCAN MASTER,,KSTRA9,21.58,D,7/17/2020 1:43:54 PM,US-BR-CO-R2-G-1798,1,5.027,42.145929,-102.928022,10.010,58.034
P00000000879556049943261,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,10,8,,F,,SCAN MASTER,,KSTRA9,19.43,U,7/17/2020 3:04:31 PM,US-BR-CO-R2-G-1798,2,5.247,42.145924,-102.927905,10.530,59.665
P00000000879556049943262,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,13,9,,F,,SCAN MASTER,,KSTRA9,19.62,D,7/17/2020 2:31:03 PM,US-BR-CO-R2-G-1798,2,5.280,42.145934,-102.927985,9.780,58.111
P00000000879556049943263,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,5,10,,F,,SCAN MASTER,,KSTRA9,24.38,U,7/17/2020 1:30:43 PM,US-BR-CO-R2-G-1798,1,2.359,42.145802,-102.927716,0.000,0.000
P00000000879556049943264,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,8,11,,F,,SCAN MASTER,,KSTRA9,20.96,U,7/17/2020 2:25:04 PM,US-BR-CO-R2-G-1798,2,4.431,42.145988,-102.927917,9.970,56.247
P00000000879556049943265,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,8,12,,F,,SCAN MASTER,,KSTRA9,20.86,U,7/17/2020 2:26:00 PM,US-BR-CO-R2-G-1798,2,4.883,42.145887,-102.927838,9.340,57.179
P00000000879556049943266,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,10,13,,F,,SCAN MASTER,,KSTRA9,18.85,U,7/17/2020 3:05:31 PM,US-BR-CO-R2-G-1798,2,5.247,42.145826,-102.927834,9.790,57.490
P00000000879556049943267,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,10,14,,F,,SCAN MASTER,,KSTRA9,19.11,U,7/17/2020 3:04:03 PM,US-BR-CO-R2-G-1798,2,4.740,42.145969,-102.927943,11.650,60.830
P00000000879556049943268,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,14,15,,F,,SCAN MASTER,,KSTRA9,19.01,D,7/17/2020 2:28:27 PM,US-BR-CO-R2-G-1798,1,5.049,42.145706,-102.927802,9.890,58.888
P00000000879556049943269,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,7,16,,F,,SCAN MASTER,,KSTRA9,19.93,U,7/17/2020 2:26:55 PM,US-BR-CO-R2-G-1798,1,4.101,42.145792,-102.927767,10.170,57.490
P00000000879556049943270,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,9,17,,F,,SCAN MASTER,,KSTRA9,21.19,U,7/17/2020 3:05:01 PM,US-BR-CO-R2-G-1798,1,4.894,42.145871,-102.927865,10.010,59.199
P00000000879556049943271,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,11,18,,F,,SCAN MASTER,,KSTRA9,19.78,D,7/17/2020 3:08:43 PM,US-BR-CO-R2-G-1798,2,5.027,42.145809,-102.927850,9.770,58.966
P00000000879556049943272,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,12,19,,F,,SCAN MASTER,,KSTRA9,19.55,D,7/17/2020 3:09:13 PM,US-BR-CO-R2-G-1798,1,5.016,42.145855,-102.927887,10.480,59.820
P00000000879556049943273,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,9,20,,F,,SCAN MASTER,,KSTRA9,18.85,U,7/17/2020 3:05:31 PM,US-BR-CO-R2-G-1798,1,5.170,42.145826,-102.927834,10.580,59.665
P00000000879556049943274,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,14,21,,F,,SCAN MASTER,,KSTRA9,19.62,D,7/17/2020 2:31:03 PM,US-BR-CO-R2-G-1798,1,4.508,42.145934,-102.927985,8.380,55.237
P00000000879556049943275,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,10,22,,F,,SCAN MASTER,,KSTRA9,22.29,U,7/17/2020 3:06:19 PM,US-BR-CO-R2-G-1798,2,4.685,42.145775,-102.927791,10.200,59.665
P00000000879556049943276,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,13,23,,F,,SCAN MASTER,,KSTRA9,20.19,D,7/17/2020 2:30:35 PM,US-BR-CO-R2-G-1798,2,5.027,42.145889,-102.927949,12.040,60.675
P00000000879556049943277,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,11,24,,F,,SCAN MASTER,,KSTRA9,21.51,D,7/17/2020 3:09:42 PM,US-BR-CO-R2-G-1798,2,5.280,42.145905,-102.927931,11.080,60.209
P00000000879556049943278,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,16,25,,F,,SCAN MASTER,,KSTRA9,22.17,D,7/17/2020 1:42:27 PM,US-BR-CO-R2-G-1798,1,4.608,42.145776,-102.927916,8.370,54.382
P00000000879556049943279,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,15,26,,F,,SCAN MASTER,,KSTRA9,22.17,D,7/17/2020 1:42:27 PM,US-BR-CO-R2-G-1798,2,5.512,42.145776,-102.927916,10.940,57.956
P00000000879556049943280,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,6,27,,F,,SCAN MASTER,,KSTRA9,24.38,U,7/17/2020 1:30:43 PM,US-BR-CO-R2-G-1798,2,4.012,42.145802,-102.927716,11.690,57.801
P00000000879556049943281,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,16,28,,F,,SCAN MASTER,,KSTRA9,21.70,D,7/17/2020 1:43:25 PM,US-BR-CO-R2-G-1798,1,5.501,42.145872,-102.927998,10.460,59.199
P00000000879556049943282,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,9,29,,F,,SCAN MASTER,,KSTRA9,19.43,U,7/17/2020 3:04:31 PM,US-BR-CO-R2-G-1798,1,5.104,42.145924,-102.927905,10.860,60.053
P00000000879556049943283,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,12,30,,F,,SCAN MASTER,,KSTRA9,23.72,D,7/17/2020 3:07:31 PM,US-BR-CO-R2-G-1798,1,4.343,42.145713,-102.927757,10.750,56.791
